標記目標,標記時間(s),Frame,標記行為,
newBox,0:2,68,cycle,
newBox,0:2,69,cycle,
newBox,0:2,70,cycle,
newBox,0:2,71,cycle,
newBox,0:2,72,cycle,
newBox,0:2,73,cycle,
newBox,0:2,74,cycle,
newBox,0:2,75,cycle,
newBox,0:2,76,cycle,
newBox,0:2,77,cycle,
newBox,0:2,78,cycle,
newBox,0:2,79,cycle,
newBox,0:2,80,cycle,
newBox,0:2,81,cycle,
newBox,0:2,82,cycle,
newBox,0:2,83,cycle,
newBox,0:2,84,cycle,
newBox,0:2,85,cycle,
newBox,0:2,86,cycle,
newBox,0:2,87,cycle,
newBox,0:2,88,cycle,
newBox,0:2,89,cycle,
newBox,0:2,90,cycle,
newBox,0:3,91,cycle,
newBox,0:3,92,cycle,
newBox,0:3,93,cycle,
newBox,0:3,94,cycle,
newBox,0:3,95,cycle,
newBox,0:3,96,cycle,
newBox,0:3,97,cycle,
newBox,0:3,98,cycle,
newBox,0:3,99,cycle,
newBox,0:3,100,cycle,
newBox,0:3,101,cycle,
newBox,0:3,102,cycle,
newBox,0:3,103,cycle,
newBox,0:3,104,cycle,
newBox,0:3,105,cycle,
newBox,0:3,106,cycle,
newBox,0:3,107,cycle,
newBox,0:3,108,cycle,
newBox,0:3,109,cycle,
newBox,0:3,110,cycle,
newBox,0:3,111,cycle,
newBox,0:3,112,cycle,
newBox,0:3,113,cycle,
newBox,0:3,114,cycle,
newBox,0:3,115,cycle,
newBox,0:3,116,cycle,
newBox,0:3,117,cycle,
newBox,0:3,118,cycle,
newBox,0:3,119,cycle,
newBox,0:3,120,cycle,
newBox,0:4,121,cycle,
newBox,0:4,122,cycle,
newBox,0:4,123,cycle,
newBox,0:4,124,cycle,
newBox,0:4,125,cycle,
newBox,0:4,126,cycle,
newBox,0:4,127,cycle,
newBox,0:4,128,cycle,
newBox,0:4,129,cycle,
newBox,0:4,130,cycle,
newBox,0:4,131,cycle,
newBox,0:4,132,cycle,
newBox,0:4,133,cycle,
newBox,0:4,134,cycle,
newBox,0:4,135,cycle,
newBox,0:4,136,cycle,
newBox,0:4,137,cycle,
newBox,0:4,138,cycle,
newBox,0:4,139,cycle,
newBox,0:4,140,cycle,
newBox,0:4,141,cycle,
newBox,0:4,142,cycle,
newBox,0:4,143,cycle,
newBox,0:4,144,cycle,
newBox,0:4,145,cycle,
newBox,0:4,146,cycle,
newBox,0:4,147,cycle,
newBox,0:4,148,cycle,
newBox,0:4,149,cycle,
newBox,0:4,150,cycle,
newBox,0:5,151,cycle,
newBox,0:5,152,cycle,
newBox,0:5,153,cycle,
newBox,0:5,154,cycle,
newBox,0:5,155,cycle,
newBox,0:5,156,cycle,
newBox,0:5,157,cycle,
newBox,0:5,158,cycle,
newBox,0:5,159,cycle,
newBox,0:5,160,cycle,
newBox,0:5,161,cycle,
newBox,0:5,162,cycle,
newBox,0:5,163,cycle,
newBox,0:5,164,cycle,
newBox,0:5,165,cycle,
newBox,0:5,166,cycle,
newBox,0:5,167,cycle,
newBox,0:5,168,cycle,
newBox,0:5,169,cycle,
newBox,0:5,170,cycle,
newBox,0:5,171,cycle,
newBox,0:5,172,cycle,
newBox,0:5,173,cycle,
newBox,0:5,174,cycle,
newBox,0:5,175,cycle,
newBox,0:5,176,cycle,
newBox,0:5,177,cycle,
newBox,0:5,178,cycle,
newBox,0:5,179,cycle,
newBox,0:5,180,cycle,
newBox,0:6,181,cycle,
newBox,0:6,182,cycle,
newBox,0:6,183,cycle,
newBox,0:6,184,cycle,
newBox,0:6,185,cycle,
newBox,0:6,186,cycle,
newBox,0:6,187,cycle,
newBox,0:6,188,cycle,
newBox,0:6,189,cycle,
newBox,0:6,190,cycle,
newBox,0:6,191,cycle,
newBox,0:6,192,cycle,
newBox,0:6,193,cycle,
newBox,0:6,194,cycle,
newBox,0:6,195,cycle,
newBox,0:6,196,cycle,
newBox,0:6,197,cycle,
newBox,0:6,198,cycle,
newBox,0:6,199,cycle,
newBox,0:6,200,cycle,
newBox,0:6,201,cycle,
newBox,0:6,202,cycle,
newBox,0:6,203,cycle,
newBox,0:6,204,cycle,
newBox,0:6,205,cycle,
newBox,0:6,206,cycle,
newBox,0:6,207,cycle,
newBox,0:6,208,cycle,
newBox,0:6,209,cycle,
newBox,0:6,210,cycle,
newBox,0:7,211,cycle,
newBox,0:7,212,cycle,
newBox,0:7,213,cycle,
newBox,0:7,214,cycle,
newBox,0:7,215,cycle,
newBox,0:7,216,cycle,
newBox,0:7,217,cycle,
newBox,0:7,218,cycle,
newBox,0:7,219,cycle,
newBox,0:7,220,cycle,
newBox,0:7,221,cycle,
newBox,0:7,222,cycle,
newBox,0:7,223,cycle,
newBox,0:7,224,cycle,
newBox,0:7,225,cycle,
newBox,0:7,226,cycle,
newBox,0:7,227,cycle,
newBox,0:7,228,cycle,
newBox,0:7,229,cycle,
newBox,0:7,230,cycle,
newBox,0:7,231,cycle,
newBox,0:7,232,cycle,
newBox,0:7,233,cycle,
newBox,0:7,234,cycle,
newBox,0:7,235,cycle,
newBox,0:7,236,cycle,
newBox,0:7,237,cycle,
newBox,0:7,238,cycle,
newBox,0:7,239,cycle,
newBox,0:7,240,cycle,
newBox,0:8,241,cycle,
newBox,0:8,242,cycle,
newBox,0:8,243,cycle,
newBox,0:8,244,cycle,
newBox,0:8,245,cycle,
newBox,0:8,246,cycle,
newBox,0:8,247,cycle,
newBox,0:8,248,cycle,
newBox,0:8,249,cycle,
newBox,0:8,250,cycle,
newBox,0:8,251,cycle,
newBox,0:8,252,cycle,
newBox,0:8,253,cycle,
newBox,0:8,254,cycle,
newBox,0:8,255,cycle,
newBox,0:8,256,cycle,
newBox,0:8,257,cycle,
newBox,0:8,258,cycle,
newBox,0:8,259,cycle,
newBox,0:8,260,cycle,
newBox,0:8,261,cycle,
newBox,0:8,262,cycle,
newBox,0:8,263,cycle,
newBox,0:8,264,cycle,
newBox,0:8,265,cycle,
newBox,0:8,266,cycle,
newBox,0:8,267,cycle,
newBox,0:8,268,cycle,
newBox,0:8,269,cycle,
newBox,0:8,270,cycle,
newBox,0:9,271,cycle,
newBox,0:9,272,cycle,
newBox,0:9,273,cycle,
newBox,0:9,274,cycle,
newBox,0:9,275,cycle,
newBox,0:9,276,cycle,
newBox,0:9,277,cycle,
newBox,0:9,278,cycle,
newBox,0:9,279,cycle,
newBox,0:9,280,cycle,
newBox,0:9,281,cycle,
newBox,0:9,282,cycle,
newBox,0:9,283,cycle,
newBox,0:9,284,cycle,
newBox,0:9,285,cycle,
newBox,0:9,286,cycle,
newBox,0:9,287,cycle,
newBox,0:9,288,cycle,
newBox,0:9,289,cycle,
newBox,0:9,290,cycle,
newBox,0:9,291,cycle,
newBox,0:9,292,cycle,
newBox,0:9,293,cycle,
newBox,0:9,294,cycle,
newBox,0:9,295,cycle,
newBox,0:9,296,cycle,
newBox,0:9,297,cycle,
newBox,0:9,298,cycle,
newBox,0:9,299,cycle,
newBox,0:9,300,cycle,
newBox,0:10,301,cycle,
newBox,0:10,302,cycle,
newBox,0:10,303,cycle,
newBox,0:10,304,cycle,
newBox,0:10,305,cycle,
newBox,0:10,306,cycle,
newBox,0:10,307,cycle,
newBox,0:10,308,cycle,
newBox,0:10,309,cycle,
newBox,0:10,310,cycle,
newBox,0:10,311,cycle,
newBox,0:10,312,cycle,
newBox,0:10,313,cycle,
newBox,0:10,314,cycle,
newBox,0:10,315,cycle,
newBox,0:10,316,cycle,
newBox,0:10,317,cycle,
newBox,0:10,318,cycle,
newBox,0:10,319,cycle,
newBox,0:10,320,cycle,
newBox,0:10,321,cycle,
newBox,0:10,322,cycle,
newBox,0:10,323,cycle,
newBox,0:10,324,cycle,
newBox,0:10,325,cycle,
newBox,0:10,326,cycle,
newBox,0:10,327,cycle,
newBox,0:10,328,cycle,
newBox,0:10,329,cycle,
newBox,0:10,330,cycle,
newBox,0:11,331,cycle,
newBox,0:11,332,cycle,
newBox,0:11,333,cycle,
newBox,0:11,334,cycle,
newBox,0:11,335,cycle,
newBox,0:11,336,cycle,
newBox,0:11,337,cycle,
newBox,0:11,338,cycle,
newBox,0:11,339,cycle,
newBox,0:11,340,cycle,
newBox,0:11,341,cycle,
newBox,0:11,342,cycle,
newBox,0:11,343,cycle,
newBox,0:11,344,cycle,
newBox,0:11,345,cycle,
newBox,0:11,346,cycle,
newBox,0:11,347,cycle,
newBox,0:11,348,cycle,
newBox,0:11,349,cycle,
newBox,0:11,350,cycle,
newBox,0:11,351,cycle,
newBox,0:11,352,cycle,
newBox,0:11,353,cycle,
newBox,0:11,354,cycle,
newBox,0:11,355,cycle,
newBox,0:11,356,cycle,
newBox,0:11,357,cycle,
newBox,0:11,358,cycle,
newBox,0:11,359,cycle,
newBox,0:11,360,cycle,
newBox,0:12,361,cycle,
newBox,0:12,362,cycle,
newBox,0:12,363,cycle,
newBox,0:12,364,cycle,
newBox,0:12,365,cycle,
newBox,0:12,366,cycle,
newBox,0:12,367,cycle,
newBox,0:12,368,cycle,
newBox,0:12,369,cycle,
newBox,0:12,370,cycle,
newBox,0:12,371,cycle,
newBox,0:12,372,cycle,
newBox,0:12,373,cycle,
newBox,0:12,374,cycle,
newBox,0:12,375,cycle,
newBox,0:12,376,cycle,
newBox,0:12,377,cycle,
newBox,0:12,378,cycle,
newBox,0:12,379,cycle,
newBox,0:12,380,cycle,
newBox,0:12,381,cycle,
newBox,0:12,382,cycle,
newBox,0:12,383,cycle,
newBox,0:12,384,cycle,
newBox,0:12,385,cycle,
newBox,0:12,386,cycle,
newBox,0:12,387,cycle,
newBox,0:12,388,cycle,
newBox,0:12,389,cycle,
newBox,0:12,390,cycle,
newBox,0:13,391,cycle,
newBox,0:13,392,cycle,
newBox,0:13,393,cycle,
newBox,0:13,394,cycle,
newBox,0:13,395,cycle,
newBox,0:13,396,cycle,
newBox,0:13,397,cycle,
newBox,0:13,398,cycle,
newBox,0:13,399,cycle,
newBox,0:13,400,cycle,
newBox,0:13,401,cycle,
newBox,0:13,402,cycle,
newBox,0:13,403,cycle,
newBox,0:13,404,cycle,
newBox,0:13,405,cycle,
newBox,0:13,406,cycle,
newBox,0:13,407,cycle,
newBox,0:13,408,cycle,
newBox,0:13,409,cycle,
newBox,0:13,410,cycle,
newBox,0:13,411,cycle,
newBox,0:13,412,cycle,
newBox,0:13,413,cycle,
newBox,0:13,414,cycle,
newBox,0:13,415,cycle,
newBox,0:13,416,cycle,
newBox,0:13,417,cycle,
newBox,0:13,418,cycle,
newBox,0:13,419,cycle,
newBox,0:13,420,cycle,
newBox,0:14,421,cycle,
newBox,0:14,422,cycle,
newBox,0:14,423,cycle,
newBox,0:14,424,cycle,
newBox,0:14,425,cycle,
newBox,0:14,426,cycle,
newBox,0:14,427,cycle,
newBox,0:14,428,cycle,
newBox,0:14,429,cycle,
newBox,0:14,430,cycle,
newBox,0:14,431,cycle,
newBox,0:14,432,cycle,
newBox,0:14,433,cycle,
newBox,0:14,434,cycle,
newBox,0:14,435,cycle,
newBox,0:14,436,cycle,
newBox,0:14,437,cycle,
newBox,0:14,438,cycle,
newBox,0:14,439,cycle,
newBox,0:14,440,cycle,
newBox,0:14,441,cycle,
newBox,0:14,442,cycle,
newBox,0:14,443,cycle,
newBox,0:14,444,cycle,
newBox,0:14,445,cycle,
newBox,0:14,446,cycle,
newBox,0:14,447,cycle,
newBox,0:14,448,cycle,
newBox,0:14,449,cycle,
newBox,0:14,450,cycle,
newBox,0:15,451,cycle,
newBox,0:15,452,cycle,
newBox,0:15,453,cycle,
newBox,0:15,454,cycle,
newBox,0:15,455,cycle,
newBox,0:15,456,cycle,
newBox,0:15,457,cycle,
newBox,0:15,458,cycle,
newBox,0:15,459,cycle,
newBox,0:15,460,cycle,
newBox,0:15,461,cycle,
newBox,0:15,462,cycle,
newBox,0:15,463,cycle,
newBox,0:15,464,cycle,
newBox,0:15,465,cycle,
newBox,0:15,466,cycle,
newBox,0:15,467,cycle,
newBox,0:15,468,cycle,
newBox,0:15,469,cycle,
newBox,0:15,470,cycle,
newBox,0:15,471,cycle,
newBox,0:15,472,cycle,
newBox,0:15,473,cycle,
newBox,0:15,474,cycle,
newBox,0:15,475,cycle,
newBox,0:15,476,cycle,
newBox,0:15,477,cycle,
newBox,0:15,478,cycle,
newBox,0:15,479,cycle,
newBox,0:15,480,cycle,
newBox,0:16,481,cycle,
newBox,0:16,482,cycle,
newBox,0:16,483,cycle,
newBox,0:16,484,cycle,
newBox,0:16,485,cycle,
newBox,0:16,486,cycle,
newBox,0:16,487,cycle,
newBox,0:16,488,cycle,
newBox,0:16,489,cycle,
newBox,0:16,490,cycle,
newBox,0:16,491,cycle,
newBox,0:16,492,cycle,
newBox,0:16,493,cycle,
newBox,0:16,494,cycle,
newBox,0:16,495,cycle,
newBox,0:16,496,cycle,
newBox,0:16,497,cycle,
newBox,0:16,498,cycle,
newBox,0:16,499,cycle,
newBox,0:16,500,cycle,
newBox,0:16,501,cycle,
newBox,0:16,502,cycle,
newBox,0:16,503,cycle,
newBox,0:16,504,cycle,
newBox,0:16,505,cycle,
newBox,0:16,506,cycle,
newBox,0:16,507,cycle,
newBox,0:16,508,cycle,
newBox,0:16,509,cycle,
newBox,0:16,510,cycle,
newBox,0:17,511,cycle,
newBox,0:17,512,cycle,
newBox,0:17,513,cycle,
newBox,0:17,514,cycle,
newBox,0:17,515,cycle,
newBox,0:17,516,cycle,
newBox,0:17,517,cycle,
newBox,0:17,518,cycle,
newBox,0:17,519,cycle,
newBox,0:17,520,cycle,
newBox,0:17,521,cycle,
newBox,0:17,522,cycle,
newBox,0:17,523,cycle,
newBox,0:17,524,cycle,
newBox,0:17,525,cycle,
newBox,0:17,526,cycle,
newBox,0:17,527,cycle,
newBox,0:17,528,cycle,
newBox,0:17,529,cycle,
newBox,0:17,530,cycle,
newBox,0:17,531,cycle,
newBox,0:17,532,cycle,
newBox,0:17,533,cycle,
newBox,0:17,534,cycle,
newBox,0:17,535,cycle,
newBox,0:17,536,cycle,
newBox,0:17,537,cycle,
newBox,0:17,538,cycle,
newBox,0:17,539,cycle,
newBox,0:17,540,cycle,
newBox,0:18,541,cycle,
newBox,0:18,542,cycle,
newBox,0:18,543,cycle,
newBox,0:18,544,cycle,
newBox,0:18,545,cycle,
newBox,0:18,546,cycle,
newBox,0:18,547,cycle,
newBox,0:18,548,cycle,
newBox,0:18,549,cycle,
newBox,0:18,550,cycle,
newBox,0:18,551,cycle,
newBox,0:18,552,cycle,
newBox,0:18,553,cycle,
newBox,0:18,554,cycle,
newBox,0:18,555,cycle,
newBox,0:18,556,cycle,
newBox,0:18,557,cycle,
newBox,0:18,558,cycle,
newBox,0:18,559,cycle,
newBox,0:18,560,cycle,
newBox,0:18,561,cycle,
newBox,0:18,562,cycle,
newBox,0:18,563,cycle,
newBox,0:18,564,cycle,
newBox,0:18,565,cycle,
newBox,0:18,566,cycle,
newBox,0:18,567,cycle,
newBox,0:18,568,cycle,
newBox,0:18,569,cycle,
newBox,0:18,570,cycle,
newBox,0:19,571,cycle,
newBox,0:19,572,cycle,
newBox,0:19,573,cycle,
newBox,0:19,574,cycle,
newBox,0:19,575,cycle,
newBox,0:19,576,cycle,
newBox,0:19,577,cycle,
newBox,0:19,578,cycle,
newBox,0:19,579,cycle,
newBox,0:19,580,cycle,
newBox,0:19,581,cycle,
newBox,0:19,582,cycle,
newBox,0:19,583,cycle,
newBox,0:19,584,cycle,
newBox,0:19,585,cycle,
newBox,0:19,586,cycle,
newBox,0:19,587,cycle,
newBox,0:19,588,cycle,
newBox,0:19,589,cycle,
newBox,0:19,590,cycle,
newBox,0:19,591,cycle,
newBox,0:19,592,cycle,
newBox,0:19,593,cycle,
newBox,0:19,594,cycle,
newBox,0:19,595,cycle,
newBox,0:19,596,cycle,
newBox,0:19,597,cycle,
newBox,0:19,598,cycle,
newBox,0:19,599,cycle,
newBox,0:19,600,cycle,
newBox,0:20,601,others,
newBox,0:20,602,others,
newBox,0:20,603,others,
newBox,0:20,604,others,
newBox,0:20,605,others,
newBox,0:20,606,others,
newBox,0:20,607,others,
newBox,0:20,608,others,
newBox,0:20,609,others,
newBox,0:20,610,others,
newBox,0:20,611,others,
newBox,0:20,612,others,
newBox,0:20,613,others,
newBox,0:20,614,others,
newBox,0:20,615,others,
newBox,0:20,616,others,
newBox,0:20,617,others,
newBox,0:20,618,others,
newBox,0:20,619,others,
newBox,0:20,620,others,
newBox,0:20,621,others,
newBox,0:20,622,others,
newBox,0:20,623,others,
newBox,0:20,624,others,
newBox,0:20,625,others,
newBox,0:20,626,others,
newBox,0:20,627,others,
newBox,0:20,628,others,
newBox,0:20,629,others,
newBox,0:20,630,others,
newBox,0:21,631,others,
newBox,0:21,632,others,
newBox,0:21,633,others,
newBox,0:21,634,others,
newBox,0:21,635,others,
newBox,0:21,636,others,
newBox,0:21,637,others,
newBox,0:21,638,others,
newBox,0:21,639,others,
newBox,0:21,640,others,
newBox,0:21,641,others,
newBox,0:21,642,others,
newBox,0:21,643,others,
newBox,0:21,644,others,
newBox,0:21,645,others,
newBox,0:21,646,others,
newBox,0:21,647,others,
newBox,0:21,648,others,
newBox,0:21,649,others,
newBox,0:21,650,others,
newBox,0:21,651,others,
newBox,0:21,652,others,
newBox,0:21,653,others,
newBox,0:21,654,others,
newBox,0:21,655,others,
newBox,0:21,656,others,
newBox,0:21,657,others,
newBox,0:21,658,others,
newBox,0:21,659,others,
newBox,0:21,660,others,
newBox,0:22,661,others,
newBox,0:22,662,others,
newBox,0:22,663,others,
newBox,0:22,664,others,
newBox,0:22,665,others,
newBox,0:22,666,others,
newBox,0:22,667,others,
newBox,0:22,668,others,
newBox,0:22,669,others,
newBox,0:22,670,others,
newBox,0:22,671,others,
newBox,0:22,672,others,
newBox,0:22,673,others,
newBox,0:22,674,others,
newBox,0:22,675,others,
newBox,0:22,676,others,
newBox,0:22,677,others,
newBox,0:22,678,others,
newBox,0:22,679,others,
newBox,0:22,680,others,
newBox,0:22,681,others,
newBox,0:22,682,others,
newBox,0:22,683,others,
newBox,0:22,684,others,
newBox,0:22,685,others,
newBox,0:22,686,others,
newBox,0:22,687,others,
newBox,0:22,688,others,
newBox,0:22,689,others,
newBox,0:22,690,others,
newBox,0:23,691,others,
newBox,0:23,692,others,
newBox,0:23,693,others,
newBox,0:23,694,others,
newBox,0:23,695,others,
newBox,0:23,696,others,
newBox,0:23,697,cycle,
newBox,0:23,698,cycle,
newBox,0:23,699,cycle,
newBox,0:23,700,cycle,
newBox,0:23,701,cycle,
newBox,0:23,702,cycle,
newBox,0:23,703,cycle,
newBox,0:23,704,cycle,
newBox,0:23,705,cycle,
newBox,0:23,706,cycle,
newBox,0:23,707,cycle,
newBox,0:23,708,cycle,
newBox,0:23,709,cycle,
newBox,0:23,710,cycle,
newBox,0:23,711,cycle,
newBox,0:23,712,cycle,
newBox,0:23,713,cycle,
newBox,0:23,714,cycle,
newBox,0:23,715,cycle,
newBox,0:23,716,cycle,
newBox,0:23,717,cycle,
newBox,0:23,718,cycle,
newBox,0:23,719,cycle,
newBox,0:23,720,cycle,
newBox,0:24,721,cycle,
newBox,0:24,722,cycle,
newBox,0:24,723,cycle,
newBox,0:24,724,cycle,
newBox,0:24,725,cycle,
newBox,0:24,726,cycle,
newBox,0:24,727,cycle,
newBox,0:24,728,cycle,
newBox,0:24,729,cycle,
newBox,0:24,730,cycle,
newBox,0:24,731,cycle,
newBox,0:24,732,cycle,
newBox,0:24,733,cycle,
newBox,0:24,734,cycle,
newBox,0:24,735,cycle,
newBox,0:24,736,cycle,
newBox,0:24,737,cycle,
newBox,0:24,738,cycle,
newBox,0:24,739,cycle,
newBox,0:24,740,cycle,
newBox,0:24,741,cycle,
newBox,0:24,742,cycle,
newBox,0:24,743,cycle,
newBox,0:24,744,cycle,
newBox,0:24,745,cycle,
newBox,0:24,746,cycle,
newBox,0:24,747,cycle,
newBox,0:24,748,cycle,
newBox,0:24,749,cycle,
newBox,0:24,750,cycle,
newBox,0:25,751,cycle,
newBox,0:25,752,cycle,
newBox,0:25,753,cycle,
newBox,0:25,754,cycle,
newBox,0:25,755,cycle,
newBox,0:25,756,cycle,
newBox,0:25,757,cycle,
newBox,0:25,758,cycle,
newBox,0:25,759,cycle,
newBox,0:25,760,cycle,
newBox,0:25,761,cycle,
newBox,0:25,762,cycle,
newBox,0:25,763,cycle,
newBox,0:25,764,cycle,
newBox,0:25,765,cycle,
newBox,0:25,766,cycle,
newBox,0:25,767,cycle,
newBox,0:25,768,cycle,
newBox,0:25,769,cycle,
newBox,0:25,770,cycle,
newBox,0:25,771,cycle,
newBox,0:25,772,cycle,
newBox,0:25,773,cycle,
newBox,0:25,774,cycle,
newBox,0:25,775,cycle,
newBox,0:25,776,cycle,
newBox,0:25,777,cycle,
newBox,0:25,778,cycle,
newBox,0:25,779,cycle,
newBox,0:25,780,cycle,
newBox,0:26,781,cycle,
newBox,0:26,782,cycle,
newBox,0:26,783,cycle,
newBox,0:26,784,cycle,
newBox,0:26,785,cycle,
newBox,0:26,786,cycle,
newBox,0:26,787,cycle,
newBox,0:26,788,cycle,
newBox,0:26,789,cycle,
newBox,0:26,790,cycle,
newBox,0:26,791,cycle,
newBox,0:26,792,cycle,
newBox,0:26,793,cycle,
newBox,0:26,794,cycle,
newBox,0:26,795,cycle,
newBox,0:26,796,cycle,
newBox,0:26,797,cycle,
newBox,0:26,798,cycle,
newBox,0:26,799,cycle,
newBox,0:26,800,cycle,
newBox,0:26,801,cycle,
newBox,0:26,802,cycle,
newBox,0:26,803,cycle,
newBox,0:26,804,cycle,
newBox,0:26,805,cycle,
newBox,0:26,806,cycle,
newBox,0:26,807,cycle,
newBox,0:26,808,cycle,
newBox,0:26,809,cycle,
newBox,0:26,810,cycle,
newBox,0:27,811,cycle,
newBox,0:27,812,cycle,
newBox,0:27,813,cycle,
newBox,0:27,814,cycle,
newBox,0:27,815,cycle,
newBox,0:27,816,cycle,
newBox,0:27,817,cycle,
newBox,0:27,818,cycle,
newBox,0:27,819,cycle,
newBox,0:27,820,cycle,
newBox,0:27,821,cycle,
newBox,0:27,822,cycle,
newBox,0:27,823,cycle,
newBox,0:27,824,cycle,
newBox,0:27,825,cycle,
newBox,0:27,826,cycle,
newBox,0:27,827,cycle,
newBox,0:27,828,cycle,
newBox,0:27,829,cycle,
newBox,0:27,830,cycle,
newBox,0:27,831,cycle,
newBox,0:27,832,cycle,
newBox,0:27,833,cycle,
newBox,0:27,834,cycle,
newBox,0:27,835,cycle,
newBox,0:27,836,cycle,
newBox,0:27,837,cycle,
newBox,0:27,838,cycle,
newBox,0:27,839,cycle,
newBox,0:27,840,cycle,
newBox,0:28,841,cycle,
newBox,0:28,842,cycle,
newBox,0:28,843,cycle,
newBox,0:28,844,cycle,
newBox,0:28,845,cycle,
newBox,0:28,846,cycle,
newBox,0:28,847,cycle,
newBox,0:28,848,cycle,
newBox,0:28,849,cycle,
newBox,0:28,850,cycle,
newBox,0:28,851,cycle,
newBox,0:28,852,cycle,
newBox,0:28,853,cycle,
newBox,0:28,854,cycle,
newBox,0:28,855,cycle,
newBox,0:28,856,cycle,
newBox,0:28,857,cycle,
newBox,0:28,858,cycle,
newBox,0:28,859,cycle,
newBox,0:28,860,cycle,
newBox,0:28,861,cycle,
newBox,0:28,862,cycle,
newBox,0:28,863,cycle,
newBox,0:28,864,cycle,
newBox,0:28,865,cycle,
newBox,0:28,866,cycle,
newBox,0:28,867,cycle,
newBox,0:28,868,cycle,
newBox,0:28,869,cycle,
newBox,0:28,870,cycle,
newBox,0:29,871,cycle,
newBox,0:29,872,cycle,
newBox,0:29,873,cycle,
newBox,0:29,874,cycle,
newBox,0:29,875,cycle,
newBox,0:29,876,cycle,
newBox,0:29,877,cycle,
newBox,0:29,878,cycle,
newBox,0:29,879,cycle,
newBox,0:29,880,cycle,
newBox,0:29,881,cycle,
newBox,0:29,882,cycle,
newBox,0:29,883,cycle,
newBox,0:29,884,cycle,
newBox,0:29,885,cycle,
newBox,0:29,886,cycle,
newBox,0:29,887,cycle,
newBox,0:29,888,cycle,
newBox,0:29,889,cycle,
newBox,0:29,890,cycle,
newBox,0:29,891,cycle,
newBox,0:29,892,cycle,
newBox,0:29,893,cycle,
newBox,0:29,894,cycle,
newBox,0:29,895,cycle,
newBox,0:29,896,cycle,
newBox,0:29,897,cycle,
newBox,0:29,898,cycle,
newBox,0:29,899,cycle,
newBox,0:29,900,cycle,
newBox,0:30,901,cycle,
newBox,0:30,902,cycle,
newBox,0:30,903,cycle,
newBox,0:30,904,cycle,
newBox,0:30,905,cycle,
newBox,0:30,906,cycle,
newBox,0:30,907,cycle,
newBox,0:30,908,cycle,
newBox,0:30,909,cycle,
newBox,0:30,910,cycle,
newBox,0:30,911,cycle,
newBox,0:30,912,cycle,
newBox,0:30,913,cycle,
newBox,0:30,914,cycle,
newBox,0:30,915,cycle,
newBox,0:30,916,cycle,
newBox,0:30,917,cycle,
newBox,0:30,918,cycle,
newBox,0:30,919,cycle,
newBox,0:30,920,cycle,
newBox,0:30,921,cycle,
newBox,0:30,922,cycle,
newBox,0:30,923,cycle,
newBox,0:30,924,cycle,
newBox,0:30,925,cycle,
newBox,0:30,926,cycle,
newBox,0:30,927,cycle,
newBox,0:30,928,cycle,
newBox,0:30,929,cycle,
newBox,0:30,930,cycle,
newBox,0:31,931,cycle,
newBox,0:31,932,cycle,
newBox,0:31,933,cycle,
newBox,0:31,934,cycle,
newBox,0:31,935,cycle,
newBox,0:31,936,cycle,
newBox,0:31,937,cycle,
newBox,0:31,938,cycle,
newBox,0:31,939,cycle,
newBox,0:31,940,cycle,
newBox,0:31,941,cycle,
newBox,0:31,942,cycle,
newBox,0:31,943,cycle,
